country,year,age,gender,cases
TZ,2004,15-24,M,2216.0
TZ,2005,15-24,M,2062.0
TZ,2006,15-24,M,2060.0
TZ,2007,15-24,M,2021.0
TZ,2008,15-24,M,1963.0
UA,1995,15-24,M,385.0
UA,1996,15-24,M,569.0
UA,1997,15-24,M,623.0
UA,1998,15-24,M,687.0
UA,1999,15-24,M,661.0
UA,2000,15-24,M,693.0
UA,2001,15-24,M,757.0
UA,2003,15-24,M,850.0
UA,2006,15-24,M,926.0
UA,2007,15-24,M,1556.0
UA,2008,15-24,M,901.0
UG,1995,15-24,M,1193.0
UG,1996,15-24,M,1271.0
UG,1997,15-24,M,1485.0
UG,1998,15-24,M,1512.0
UG,1999,15-24,M,1510.0
UG,2000,15-24,M,1511.0
UG,2001,15-24,M,1461.0
UG,2002,15-24,M,1503.0
UG,2003,15-24,M,1643.0
UG,2004,15-24,M,1803.0
UG,2005,15-24,M,1598.0
UG,2006,15-24,M,1624.0
UG,2007,15-24,M,1741.0
UG,2008,15-24,M,1953.0
US,1995,15-24,M,355.0
US,1996,15-24,M,333.0
US,1997,15-24,M,330.0
US,1998,15-24,M,321.0
US,1999,15-24,M,331.0
US,2000,15-24,M,365.0
US,2001,15-24,M,320.0
US,2002,15-24,M,343.0
US,2003,15-24,M,365.0
US,2004,15-24,M,362.0
US,2005,15-24,M,383.0
US,2006,15-24,M,388.0
US,2007,15-24,M,414.0
US,2008,15-24,M,375.0
UY,1995,15-24,M,28.0
UY,1996,15-24,M,34.0
UY,1997,15-24,M,37.0
UY,1998,15-24,M,30.0
UY,1999,15-24,M,45.0
UY,2000,15-24,M,36.0
UY,2001,15-24,M,33.0
UY,2002,15-24,M,33.0
UY,2003,15-24,M,46.0
UY,2004,15-24,M,38.0
UY,2005,15-24,M,42.0
UY,2006,15-24,M,38.0
UY,2007,15-24,M,39.0
UY,2008,15-24,M,49.0
UZ,1996,15-24,M,96.0
UZ,1998,15-24,M,6.0
UZ,1999,15-24,M,429.0
UZ,2000,15-24,M,351.0
UZ,2001,15-24,M,390.0
UZ,2002,15-24,M,330.0
UZ,2003,15-24,M,487.0
UZ,2004,15-24,M,512.0
UZ,2005,15-24,M,596.0
UZ,2006,15-24,M,568.0
UZ,2007,15-24,M,569.0
UZ,2008,15-24,M,515.0
VC,1998,15-24,M,0.0
VC,2000,15-24,M,1.0
VC,2005,15-24,M,0.0
VC,2007,15-24,M,0.0
VE,1999,15-24,M,378.0
VE,2002,15-24,M,339.0
VE,2003,15-24,M,361.0
VE,2004,15-24,M,373.0
VE,2005,15-24,M,312.0
VE,2006,15-24,M,323.0
VE,2007,15-24,M,324.0
VE,2008,15-24,M,364.0
VI,1995,15-24,M,0.0
VI,1996,15-24,M,0.0
VN,1996,15-24,M,1994.0
VN,1997,15-24,M,2162.0
VN,1998,15-24,M,2441.0
VN,1999,15-24,M,2254.0
VN,2000,15-24,M,2367.0
VN,2001,15-24,M,2756.0
VN,2002,15-24,M,3250.0
VN,2003,15-24,M,3475.0
VN,2004,15-24,M,3486.0
VN,2005,15-24,M,3408.0
VN,2006,15-24,M,3761.0
VN,2007,15-24,M,3587.0
VN,2008,15-24,M,3401.0
VU,1995,15-24,M,6.0
VU,1996,15-24,M,4.0
VU,1998,15-24,M,4.0
VU,1999,15-24,M,0.0
VU,2000,15-24,M,7.0
VU,2001,15-24,M,7.0
VU,2002,15-24,M,7.0
VU,2003,15-24,M,2.0
VU,2004,15-24,M,7.0
VU,2005,15-24,M,4.0
VU,2006,15-24,M,5.0
VU,2007,15-24,M,3.0
VU,2008,15-24,M,4.0
WF,1996,15-24,M,1.0
WF,2002,15-24,M,1.0
WF,2003,15-24,M,0.0
WF,2007,15-24,M,0.0
WS,1995,15-24,M,1.0
WS,1996,15-24,M,0.0
WS,1997,15-24,M,1.0
WS,1998,15-24,M,1.0
WS,1999,15-24,M,1.0
WS,2000,15-24,M,3.0
WS,2001,15-24,M,3.0
WS,2002,15-24,M,1.0
WS,2003,15-24,M,2.0
WS,2005,15-24,M,4.0
WS,2006,15-24,M,3.0
WS,2008,15-24,M,1.0
YE,1995,15-24,M,400.0
YE,1996,15-24,M,91.0
YE,1997,15-24,M,307.0
YE,1998,15-24,M,718.0
YE,1999,15-24,M,552.0
YE,2000,15-24,M,789.0
YE,2001,15-24,M,695.0
YE,2002,15-24,M,650.0
YE,2003,15-24,M,581.0
YE,2004,15-24,M,571.0
YE,2005,15-24,M,493.0
YE,2006,15-24,M,535.0
YE,2007,15-24,M,488.0
YE,2008,15-24,M,547.0
YU,1995,15-24,M,108.0
YU,1996,15-24,M,207.0
YU,1997,15-24,M,136.0
YU,2001,15-24,M,52.0
YU,2002,15-24,M,37.0
YU,2003,15-24,M,51.0
YU,2004,15-24,M,61.0
ZA,1999,15-24,M,624.0
ZA,2000,15-24,M,723.0
ZA,2001,15-24,M,1490.0
ZA,2002,15-24,M,5147.0
ZA,2003,15-24,M,10107.0
ZA,2004,15-24,M,11030.0
ZA,2005,15-24,M,10422.0
ZA,2006,15-24,M,10498.0
ZA,2007,15-24,M,10514.0
ZA,2008,15-24,M,10172.0
ZM,1995,15-24,M,659.0
ZM,2000,15-24,M,2175.0
ZM,2002,15-24,M,1013.0
ZM,2003,15-24,M,1733.0
ZM,2004,15-24,M,1498.0
ZM,2005,15-24,M,1240.0
ZM,2006,15-24,M,945.0
ZM,2007,15-24,M,1235.0
ZM,2008,15-24,M,1120.0
ZW,2002,15-24,M,600.0
ZW,2003,15-24,M,874.0
ZW,2004,15-24,M,833.0
ZW,2005,15-24,M,837.0
ZW,2006,15-24,M,736.0
ZW,2007,15-24,M,500.0
ZW,2008,15-24,M,614.0
AD,1996,25-34,M,0.0
AD,1997,25-34,M,1.0
AD,1998,25-34,M,0.0
AD,1999,25-34,M,0.0
AD,2000,25-34,M,1.0
AD,2002,25-34,M,0.0
AD,2003,25-34,M,0.0
AD,2004,25-34,M,0.0
AD,2005,25-34,M,1.0
AD,2006,25-34,M,1.0
AD,2008,25-34,M,0.0
AE,1999,25-34,M,3.0
AE,2000,25-34,M,4.0
AE,2002,25-34,M,0.0
AE,2003,25-34,M,8.0
AE,2004,25-34,M,6.0
AE,2006,25-34,M,3.0
AE,2007,25-34,M,6.0
AE,2008,25-34,M,1.0
AF,1997,25-34,M,6.0
AF,1998,25-34,M,128.0
AF,1999,25-34,M,55.0
AF,2000,25-34,M,183.0
AF,2001,25-34,M,349.0
AF,2002,25-34,M,481.0
AF,2003,25-34,M,436.0
AF,2004,25-34,M,568.0
AF,2005,25-34,M,560.0
AF,2006,25-34,M,791.0
AF,2007,25-34,M,840.0
AF,2008,25-34,M,773.0
AG,1996,25-34,M,0.0
AG,2000,25-34,M,0.0
AG,2002,25-34,M,1.0
AG,2003,25-34,M,1.0
AG,2007,25-34,M,0.0
AI,2004,25-34,M,0.0
AL,1995,25-34,M,0.0
AL,1997,25-34,M,43.0
AL,1998,25-34,M,21.0
AL,1999,25-34,M,23.0
AL,2000,25-34,M,21.0
AL,2001,25-34,M,18.0
AL,2002,25-34,M,27.0
AL,2003,25-34,M,19.0
AL,2004,25-34,M,19.0
AL,2005,25-34,M,21.0
AL,2006,25-34,M,19.0
AL,2007,25-34,M,13.0
AL,2008,25-34,M,26.0
AM,1995,25-34,M,16.0
AM,1996,25-34,M,100.0
AM,1997,25-34,M,59.0
AM,1998,25-34,M,90.0
AM,1999,25-34,M,88.0
AM,2000,25-34,M,130.0
AM,2001,25-34,M,120.0
AM,2002,25-34,M,63.0
AM,2003,25-34,M,98.0
AM,2004,25-34,M,72.0
AM,2005,25-34,M,104.0
AM,2006,25-34,M,116.0
AM,2007,25-34,M,87.0
AM,2008,25-34,M,103.0
AN,1996,25-34,M,0.0
AN,1997,25-34,M,1.0
AN,1998,25-34,M,0.0
AN,1999,25-34,M,1.0
AN,2000,25-34,M,1.0
AN,2001,25-34,M,1.0
AN,2002,25-34,M,1.0
AN,2003,25-34,M,2.0
AN,2004,25-34,M,0.0
AN,2006,25-34,M,0.0
AO,1995,25-34,M,562.0
AO,1996,25-34,M,926.0
AO,1997,25-34,M,1026.0
AO,1998,25-34,M,950.0
AO,1999,25-34,M,1237.0
AO,2000,25-34,M,1003.0
AO,2001,25-34,M,752.0
AO,2002,25-34,M,2292.0
AO,2003,25-34,M,2598.0
AO,2004,25-34,M,2659.0
AO,2005,25-34,M,2797.0
AO,2006,25-34,M,3049.0
AO,2007,25-34,M,3197.0
AO,2008,25-34,M,3493.0
AR,1996,25-34,M,535.0
AR,1997,25-34,M,600.0
AR,1998,25-34,M,571.0
AR,1999,25-34,M,546.0
AR,2000,25-34,M,594.0
AR,2001,25-34,M,611.0
AR,2002,25-34,M,658.0
AR,2003,25-34,M,565.0
AR,2004,25-34,M,543.0
AR,2005,25-34,M,530.0
AR,2006,25-34,M,484.0
AR,2007,25-34,M,623.0
AR,2008,25-34,M,611.0
AS,1997,25-34,M,0.0
AT,1995,25-34,M,95.0
AT,1997,25-34,M,117.0
AT,1999,25-34,M,40.0
AT,2000,25-34,M,30.0
AT,2001,25-34,M,27.0
AT,2002,25-34,M,14.0
AT,2003,25-34,M,31.0
AT,2004,25-34,M,19.0
AT,2005,25-34,M,23.0
AT,2006,25-34,M,25.0
AT,2007,25-34,M,15.0
AU,1997,25-34,M,24.0
AU,1998,25-34,M,22.0
AU,1999,25-34,M,40.0
AU,2000,25-34,M,35.0
AU,2001,25-34,M,20.0
AU,2002,25-34,M,20.0
AU,2003,25-34,M,10.0
AU,2004,25-34,M,16.0
AU,2005,25-34,M,27.0
AU,2006,25-34,M,35.0
AU,2007,25-34,M,33.0
AU,2008,25-34,M,33.0
AZ,1995,25-34,M,29.0
AZ,1996,25-34,M,302.0
AZ,1997,25-34,M,244.0
AZ,1998,25-34,M,47.0
AZ,1999,25-34,M,46.0
AZ,2000,25-34,M,24.0
AZ,2001,25-34,M,3.0
AZ,2002,25-34,M,433.0
AZ,2003,25-34,M,258.0
AZ,2004,25-34,M,311.0
AZ,2005,25-34,M,297.0
AZ,2006,25-34,M,362.0
BA,1995,25-34,M,61.0
BA,1996,25-34,M,48.0
BA,1997,25-34,M,84.0
BA,1998,25-34,M,75.0
BA,1999,25-34,M,76.0
BA,2000,25-34,M,82.0
BA,2001,25-34,M,70.0
BA,2002,25-34,M,48.0
BA,2003,25-34,M,42.0
BA,2004,25-34,M,79.0
BA,2005,25-34,M,58.0
BA,2006,25-34,M,58.0
BA,2007,25-34,M,0.0
BA,2008,25-34,M,35.0
BB,1996,25-34,M,1.0
BB,2000,25-34,M,0.0
BB,2001,25-34,M,1.0
BB,2004,25-34,M,2.0
BB,2006,25-34,M,2.0
BB,2007,25-34,M,0.0
BB,2008,25-34,M,1.0
BD,1995,25-34,M,983.0
BD,1996,25-34,M,1322.0
BD,1997,25-34,M,5013.0
BD,1998,25-34,M,5988.0
BD,1999,25-34,M,5777.0
BD,2000,25-34,M,5643.0
BD,2001,25-34,M,5834.0
BD,2002,25-34,M,6288.0
BD,2003,25-34,M,7275.0
BD,2004,25-34,M,8281.0
BD,2005,25-34,M,10443.0
BD,2006,25-34,M,12166.0
BD,2007,25-34,M,12442.0
BD,2008,25-34,M,12926.0
BE,1995,25-34,M,49.0
BE,1996,25-34,M,43.0
BE,1997,25-34,M,45.0
BE,1998,25-34,M,50.0
BE,1999,25-34,M,40.0
BE,2000,25-34,M,57.0
BE,2001,25-34,M,40.0
BE,2002,25-34,M,56.0
BE,2003,25-34,M,33.0
BE,2004,25-34,M,55.0
BE,2005,25-34,M,50.0
BE,2006,25-34,M,52.0
BE,2007,25-34,M,55.0
BE,2008,25-34,M,40.0
BF,1995,25-34,M,133.0
BF,1996,25-34,M,161.0
BF,1997,25-34,M,161.0
BF,1998,25-34,M,270.0
BF,1999,25-34,M,247.0
BF,2000,25-34,M,274.0
BF,2001,25-34,M,283.0
BF,2002,25-34,M,273.0
BF,2003,25-34,M,313.0
BF,2004,25-34,M,375.0
BF,2005,25-34,M,430.0
BF,2006,25-34,M,473.0
BF,2007,25-34,M,442.0
BF,2008,25-34,M,555.0
BG,2000,25-34,M,16.0
BG,2001,25-34,M,20.0
BG,2002,25-34,M,86.0
BG,2003,25-34,M,169.0
BG,2004,25-34,M,156.0
BG,2005,25-34,M,150.0
BG,2006,25-34,M,146.0
BG,2007,25-34,M,122.0
BG,2008,25-34,M,145.0
BH,1995,25-34,M,1.0
BH,1996,25-34,M,25.0
BH,1997,25-34,M,32.0
BH,1998,25-34,M,40.0
BH,1999,25-34,M,19.0
BH,2000,25-34,M,3.0
BH,2001,25-34,M,2.0
BH,2002,25-34,M,1.0
BH,2003,25-34,M,2.0
BH,2004,25-34,M,0.0
BH,2005,25-34,M,0.0
BH,2006,25-34,M,25.0
BH,2007,25-34,M,26.0
BH,2008,25-34,M,48.0
BI,1995,25-34,M,238.0
BI,1996,25-34,M,283.0
BI,1997,25-34,M,446.0
BI,1998,25-34,M,527.0
BI,1999,25-34,M,566.0
BI,2001,25-34,M,559.0
BI,2002,25-34,M,470.0
BI,2003,25-34,M,572.0
BI,2004,25-34,M,674.0
BI,2005,25-34,M,591.0
BI,2006,25-34,M,600.0
BI,2007,25-34,M,637.0
BI,2008,25-34,M,684.0
BJ,1995,25-34,M,352.0
BJ,1996,25-34,M,348.0
BJ,1997,25-34,M,376.0
BJ,1998,25-34,M,367.0
BJ,1999,25-34,M,444.0
BJ,2000,25-34,M,428.0
BJ,2002,25-34,M,489.0
BJ,2003,25-34,M,504.0
BJ,2004,25-34,M,529.0
BJ,2005,25-34,M,595.0
BJ,2006,25-34,M,624.0
BJ,2008,25-34,M,604.0
BM,2004,25-34,M,0.0
BN,1999,25-34,M,42.0
BN,2000,25-34,M,4.0
BN,2002,25-34,M,15.0
BN,2003,25-34,M,25.0
BN,2004,25-34,M,13.0
BN,2005,25-34,M,19.0
BN,2006,25-34,M,11.0
BN,2007,25-34,M,10.0
BN,2008,25-34,M,10.0
BO,1996,25-34,M,887.0
BO,1997,25-34,M,792.0
BO,1998,25-34,M,885.0
BO,1999,25-34,M,862.0
BO,2000,25-34,M,797.0
BO,2001,25-34,M,761.0
BO,2002,25-34,M,787.0
BO,2003,25-34,M,742.0
BO,2004,25-34,M,750.0
BO,2005,25-34,M,725.0
BO,2006,25-34,M,699.0
BO,2007,25-34,M,604.0
BO,2008,25-34,M,734.0
BR,1999,25-34,M,5401.0
BR,2000,25-34,M,11568.0
BR,2001,25-34,M,5536.0
BR,2002,25-34,M,5890.0
BR,2003,25-34,M,5709.0
BR,2004,25-34,M,6321.0
BR,2005,25-34,M,6119.0
BR,2006,25-34,M,6098.0
BR,2007,25-34,M,5990.0
BR,2008,25-34,M,6173.0
BS,1995,25-34,M,5.0
BS,1996,25-34,M,4.0
BS,1997,25-34,M,14.0
BS,1998,25-34,M,2.0
BS,1999,25-34,M,10.0
BS,2000,25-34,M,7.0
BS,2002,25-34,M,2.0
BS,2003,25-34,M,5.0
BS,2004,25-34,M,6.0
BS,2007,25-34,M,3.0
BS,2008,25-34,M,6.0
BT,1995,25-34,M,65.0
BT,1996,25-34,M,45.0
BT,1997,25-34,M,42.0
BT,1998,25-34,M,39.0
BT,1999,25-34,M,42.0
BT,2000,25-34,M,41.0
BT,2001,25-34,M,50.0
BT,2002,25-34,M,51.0
BT,2003,25-34,M,50.0
BT,2004,25-34,M,52.0
BT,2005,25-34,M,58.0
BT,2006,25-34,M,55.0
BT,2007,25-34,M,44.0
BT,2008,25-34,M,46.0
BW,1997,25-34,M,509.0
BW,1999,25-34,M,526.0
BW,2000,25-34,M,605.0
BW,2001,25-34,M,539.0
BW,2002,25-34,M,595.0
BW,2003,25-34,M,552.0
BW,2004,25-34,M,490.0
BW,2005,25-34,M,563.0
BW,2006,25-34,M,577.0
BW,2007,25-34,M,535.0
BW,2008,25-34,M,528.0
BY,2002,25-34,M,133.0
BY,2003,25-34,M,134.0
BY,2004,25-34,M,170.0
BY,2005,25-34,M,180.0
BY,2006,25-34,M,134.0
BY,2007,25-34,M,142.0
BY,2008,25-34,M,149.0
BZ,1995,25-34,M,2.0
BZ,1996,25-34,M,2.0
BZ,1997,25-34,M,6.0
BZ,2000,25-34,M,7.0
BZ,2001,25-34,M,5.0
BZ,2002,25-34,M,5.0
BZ,2003,25-34,M,8.0
BZ,2004,25-34,M,6.0
BZ,2005,25-34,M,8.0
BZ,2006,25-34,M,4.0
BZ,2007,25-34,M,8.0
BZ,2008,25-34,M,12.0
CA,1980,25-34,M,75.0
CA,1981,25-34,M,61.0
CA,1982,25-34,M,66.0
CA,1983,25-34,M,63.0
CA,1984,25-34,M,75.0
CA,1985,25-34,M,70.0
CA,1986,25-34,M,73.0
CA,1987,25-34,M,71.0
CA,1988,25-34,M,73.0
CA,1989,25-34,M,56.0
CA,1990,25-34,M,70.0
CA,1991,25-34,M,79.0
CA,1992,25-34,M,47.0
CA,1993,25-34,M,47.0
CA,1994,25-34,M,54.0
CA,1995,25-34,M,31.0
CA,1996,25-34,M,49.0
CA,1997,25-34,M,55.0
CA,1998,25-34,M,43.0
CA,1999,25-34,M,47.0
CA,2000,25-34,M,45.0
CA,2001,25-34,M,49.0
CA,2002,25-34,M,34.0
CA,2003,25-34,M,36.0
CA,2004,25-34,M,34.0
CA,2005,25-34,M,45.0
CA,2006,25-34,M,34.0
CA,2007,25-34,M,41.0
CA,2008,25-34,M,36.0
CD,1995,25-34,M,2382.0
CD,1996,25-34,M,1627.0
CD,1997,25-34,M,1996.0
CD,1998,25-34,M,5073.0
CD,1999,25-34,M,5886.0
CD,2000,25-34,M,5833.0
CD,2001,25-34,M,6794.0
CD,2002,25-34,M,7414.0
CD,2003,25-34,M,8427.0
CD,2004,25-34,M,9467.0
CD,2005,25-34,M,9808.0
CD,2006,25-34,M,9486.0
CD,2007,25-34,M,9548.0
CD,2008,25-34,M,9988.0
CF,1995,25-34,M,356.0
CF,1996,25-34,M,385.0
CF,1997,25-34,M,403.0
CF,1998,25-34,M,482.0
CF,1999,25-34,M,529.0
CF,2001,25-34,M,279.0
CF,2002,25-34,M,462.0
CF,2004,25-34,M,694.0
CF,2005,25-34,M,1136.0
CF,2006,25-34,M,770.0
CF,2008,25-34,M,643.0
CG,1995,25-34,M,409.0
CG,1999,25-34,M,407.0
CG,2001,25-34,M,756.0
CG,2004,25-34,M,887.0
CG,2006,25-34,M,656.0
CG,2007,25-34,M,635.0
CG,2008,25-34,M,606.0
CH,1995,25-34,M,23.0
CH,1996,25-34,M,28.0
CH,1997,25-34,M,20.0
CH,1998,25-34,M,30.0
CH,1999,25-34,M,15.0
CH,2000,25-34,M,18.0
CH,2001,25-34,M,18.0
CH,2002,25-34,M,16.0
CH,2003,25-34,M,7.0
CH,2004,25-34,M,14.0
CH,2005,25-34,M,9.0
CH,2006,25-34,M,15.0
CH,2007,25-34,M,10.0
CH,2008,25-34,M,13.0
CI,1995,25-34,M,2092.0
CI,1996,25-34,M,1670.0
CI,1997,25-34,M,1850.0
CI,1998,25-34,M,1747.0
CI,1999,25-34,M,1794.0
CI,2001,25-34,M,1818.0
CI,2002,25-34,M,2194.0
CI,2003,25-34,M,2075.0
CI,2004,25-34,M,2323.0
CI,2005,25-34,M,2449.0
CI,2006,25-34,M,2476.0
CI,2007,25-34,M,2705.0
CI,2008,25-34,M,2944.0
CK,1980,25-34,M,0.0
CK,1981,25-34,M,1.0
CK,1982,25-34,M,0.0
CK,1983,25-34,M,1.0
CK,1984,25-34,M,1.0
CK,1985,25-34,M,0.0
CK,1986,25-34,M,0.0
CK,1987,25-34,M,0.0
CK,1989,25-34,M,0.0
CK,1991,25-34,M,0.0
CK,1992,25-34,M,0.0
CK,1993,25-34,M,0.0
CK,1994,25-34,M,0.0
CK,1995,25-34,M,0.0
CK,1996,25-34,M,0.0
CK,1997,25-34,M,0.0
CK,1998,25-34,M,0.0
CK,2000,25-34,M,0.0
CK,2001,25-34,M,0.0
CK,2002,25-34,M,0.0
CK,2003,25-34,M,0.0
CK,2004,25-34,M,0.0
CK,2005,25-34,M,0.0
CK,2006,25-34,M,0.0
CL,1995,25-34,M,182.0
CL,1996,25-34,M,201.0
CL,1997,25-34,M,182.0
CL,1999,25-34,M,173.0
CL,2000,25-34,M,160.0
CL,2001,25-34,M,183.0
CL,2002,25-34,M,163.0
CL,2003,25-34,M,131.0
CL,2004,25-34,M,148.0
CL,2005,25-34,M,128.0
CL,2006,25-34,M,140.0
CL,2007,25-34,M,137.0
CL,2008,25-34,M,131.0
CM,1995,25-34,M,569.0
CM,1996,25-34,M,735.0
CM,1997,25-34,M,1011.0
CM,1998,25-34,M,1006.0
CM,1999,25-34,M,1595.0
CM,2000,25-34,M,842.0
CM,2001,25-34,M,1000.0
CM,2002,25-34,M,1335.0
CM,2003,25-34,M,2274.0
CM,2004,25-34,M,2147.0
CM,2005,25-34,M,2482.0
CM,2006,25-34,M,2550.0
CM,2007,25-34,M,2613.0
CM,2008,25-34,M,2861.0
CN,1995,25-34,M,18306.0
CN,1996,25-34,M,24057.0
CN,1997,25-34,M,28247.0
CN,1998,25-34,M,30093.0
CN,1999,25-34,M,29328.0
CN,2000,25-34,M,29399.0
CN,2001,25-34,M,28520.0
CN,2002,25-34,M,25242.0
CN,2003,25-34,M,32760.0
CN,2004,25-34,M,43594.0
CN,2005,25-34,M,49558.0
CN,2006,25-34,M,48232.0
CN,2007,25-34,M,46374.0
CN,2008,25-34,M,44651.0
CO,1999,25-34,M,1473.0
CO,2000,25-34,M,1030.0
CO,2001,25-34,M,703.0
CO,2002,25-34,M,696.0
CO,2003,25-34,M,816.0
CO,2004,25-34,M,824.0
CO,2005,25-34,M,685.0
CO,2006,25-34,M,713.0
CO,2007,25-34,M,704.0
CO,2008,25-34,M,736.0
CR,1995,25-34,M,38.0
CR,1996,25-34,M,11.0
CR,1997,25-34,M,82.0
CR,1998,25-34,M,78.0
CR,1999,25-34,M,63.0
CR,2000,25-34,M,53.0
CR,2001,25-34,M,53.0
CR,2002,25-34,M,45.0
CR,2003,25-34,M,47.0
CR,2004,25-34,M,62.0
CR,2005,25-34,M,38.0
CR,2006,25-34,M,36.0
CR,2007,25-34,M,57.0
CR,2008,25-34,M,39.0
CU,1995,25-34,M,118.0
CU,1996,25-34,M,136.0
CU,1997,25-34,M,151.0
CU,1998,25-34,M,140.0
CU,1999,25-34,M,163.0
CU,2000,25-34,M,167.0
CU,2001,25-34,M,136.0
CU,2002,25-34,M,104.0
CU,2003,25-34,M,90.0
CU,2004,25-34,M,68.0
CU,2005,25-34,M,73.0
CU,2006,25-34,M,73.0
CU,2008,25-34,M,66.0
CV,1997,25-34,M,16.0
CV,1998,25-34,M,14.0
CV,2001,25-34,M,15.0
CV,2002,25-34,M,29.0
CV,2003,25-34,M,32.0
CV,2004,25-34,M,33.0
CV,2005,25-34,M,23.0
CV,2006,25-34,M,22.0
CV,2007,25-34,M,30.0
CV,2008,25-34,M,33.0
CY,1995,25-34,M,1.0
CY,1996,25-34,M,0.0
CY,1998,25-34,M,1.0
CY,1999,25-34,M,6.0
CY,2002,25-34,M,1.0
CY,2003,25-34,M,4.0
CY,2004,25-34,M,3.0
CY,2005,25-34,M,1.0
CY,2006,25-34,M,1.0
CY,2007,25-34,M,1.0
CY,2008,25-34,M,0.0
CZ,1995,25-34,M,22.0
CZ,1996,25-34,M,40.0
CZ,1997,25-34,M,25.0
CZ,1998,25-34,M,37.0
CZ,1999,25-34,M,27.0
CZ,2000,25-34,M,31.0
CZ,2001,25-34,M,39.0
CZ,2002,25-34,M,28.0
CZ,2003,25-34,M,28.0
CZ,2004,25-34,M,28.0
CZ,2005,25-34,M,24.0
CZ,2006,25-34,M,19.0
CZ,2007,25-34,M,26.0
CZ,2008,25-34,M,29.0
DE,1995,25-34,M,453.0
DE,1996,25-34,M,377.0
DE,1997,25-34,M,375.0
DE,1998,25-34,M,333.0
DE,1999,25-34,M,308.0
DE,2001,25-34,M,89.0
DE,2002,25-34,M,75.0
DE,2003,25-34,M,107.0
DE,2004,25-34,M,130.0
DE,2005,25-34,M,113.0
DE,2006,25-34,M,138.0
DE,2007,25-34,M,248.0
DE,2008,25-34,M,95.0
DJ,1996,25-34,M,429.0
DJ,1997,25-34,M,442.0
DJ,1998,25-34,M,396.0
DJ,1999,25-34,M,371.0
DJ,2000,25-34,M,347.0
DJ,2001,25-34,M,331.0
DJ,2002,25-34,M,320.0
DJ,2003,25-34,M,288.0
DJ,2004,25-34,M,225.0
DJ,2005,25-34,M,252.0
DJ,2006,25-34,M,246.0
DJ,2007,25-34,M,264.0
DJ,2008,25-34,M,275.0
DK,1995,25-34,M,16.0
DK,1996,25-34,M,16.0
DK,1997,25-34,M,19.0
DK,1998,25-34,M,20.0
DK,1999,25-34,M,29.0
DK,2000,25-34,M,20.0
DK,2001,25-34,M,15.0
DK,2002,25-34,M,8.0
DK,2003,25-34,M,20.0
DK,2004,25-34,M,12.0
DK,2005,25-34,M,12.0
DK,2006,25-34,M,13.0
DK,2007,25-34,M,12.0
DK,2008,25-34,M,15.0
DM,1996,25-34,M,1.0
DM,1997,25-34,M,0.0
DM,1998,25-34,M,0.0
DM,2006,25-34,M,1.0
DM,2007,25-34,M,0.0
DM,2008,25-34,M,0.0
DO,1996,25-34,M,262.0
DO,1997,25-34,M,471.0
DO,1998,25-34,M,416.0
DO,1999,25-34,M,485.0
DO,2000,25-34,M,481.0
DO,2002,25-34,M,417.0
DO,2003,25-34,M,518.0
DO,2004,25-34,M,502.0
DO,2005,25-34,M,483.0
DO,2006,25-34,M,480.0
DO,2007,25-34,M,403.0
DO,2008,25-34,M,398.0
DZ,1997,25-34,M,1982.0
DZ,1999,25-34,M,1344.0
DZ,2000,25-34,M,1516.0
DZ,2001,25-34,M,1614.0
DZ,2002,25-34,M,1580.0
DZ,2003,25-34,M,1633.0
DZ,2004,25-34,M,1694.0
DZ,2005,25-34,M,1841.0
DZ,2006,25-34,M,1573.0
DZ,2007,25-34,M,1749.0
DZ,2008,25-34,M,1786.0
EC,1998,25-34,M,286.0
EC,2001,25-34,M,832.0
EC,2003,25-34,M,266.0
EC,2004,25-34,M,537.0
EC,2005,25-34,M,468.0
EC,2006,25-34,M,496.0
EC,2007,25-34,M,486.0
EC,2008,25-34,M,518.0
EE,1996,25-34,M,34.0
EE,1997,25-34,M,23.0
EE,1998,25-34,M,49.0
EE,1999,25-34,M,35.0
EE,2000,25-34,M,31.0
EE,2001,25-34,M,25.0
EE,2002,25-34,M,20.0
EE,2003,25-34,M,28.0
EE,2004,25-34,M,24.0
EE,2005,25-34,M,25.0
EE,2006,25-34,M,19.0
EE,2007,25-34,M,26.0
EE,2008,25-34,M,14.0
EG,1995,25-34,M,665.0
EG,1996,25-34,M,1056.0
EG,1997,25-34,M,1033.0
EG,1998,25-34,M,943.0
EG,1999,25-34,M,889.0
EG,2000,25-34,M,827.0
EG,2001,25-34,M,879.0
EG,2002,25-34,M,774.0
EG,2003,25-34,M,814.0
EG,2004,25-34,M,763.0
EG,2005,25-34,M,606.0
EG,2006,25-34,M,728.0
EG,2007,25-34,M,853.0
EG,2008,25-34,M,640.0
ER,1997,25-34,M,12.0
ER,1998,25-34,M,30.0
ER,1999,25-34,M,75.0
ER,2000,25-34,M,75.0
ER,2001,25-34,M,95.0
ER,2002,25-34,M,88.0
ER,2003,25-34,M,85.0
ER,2004,25-34,M,61.0
ER,2005,25-34,M,73.0
ER,2006,25-34,M,55.0
ER,2007,25-34,M,85.0
ES,1995,25-34,M,337.0
ES,1998,25-34,M,361.0
ES,2001,25-34,M,355.0
ES,2002,25-34,M,392.0
ES,2003,25-34,M,334.0
ES,2004,25-34,M,301.0
ES,2005,25-34,M,394.0
ES,2006,25-34,M,332.0
ES,2007,25-34,M,375.0
